91,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1045,SJK(C) PONDOK BATANG,KAMPUNG MAJU PONDOK BATANG,ASAHAN,77100,065235219,065235219
92,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1046,SJK(C) SIMPANG BEKOH,ASAHAN POS,ASAHAN,77100,065235201,065235201
93,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1048,SJK(C) TOON HUA,NYALAS,ASAHAN,77100,065228322,065228322
94,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1049,SJK(C) SHUH YEN,"TEHEL, BEMBAN",JASIN,77200,062688296,062688296
95,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1050,SJK(C) PAY HSIEN,CHIN CHIN,JASIN,77000,065247044,065247044
96,MELAKA,PPD JASIN,Jenis Kebangsaan (C),MBC1051,SJK(C) KEMENDOR,"FELDA KEMENDOR, KEMENDOR",JASIN,77000,065295061,065295061
97,MELAKA,PPD JASIN,Jenis Kebangsaan (T),MBD1051,SJK(T) BATANG MELAKA,BATANG MELAKA,SELANDAR,77500,064462589,064462589
98,MELAKA,PPD JASIN,Jenis Kebangsaan (T),MBD1052,SJK(T) JASIN,JASIN,JASIN,77000,065295406,065291628
99,MELAKA,PPD JASIN,Jenis Kebangsaan (T),MBD1054,SJK(T) LDG BUKIT ASAHAN,LADANG BUKIT ASAHAN,JASIN,77100,065235067,065235067
100,MELAKA,PPD JASIN,Jenis Kebangsaan (T),MBD1055,SJK(T) LDG BUKIT KAJANG,BUKIT KAJANG,BEMBAN,77200,065216481,065216481
101,MELAKA,PPD JASIN,Jenis Kebangsaan (T),MBD1056,SJK(T) LDG DIAMOND JUBILEE,LDG DIAMOND JUBILEE,JASIN,77000,065293841,065293841
102,MELAKA,PPD JASIN,Jenis Kebangsaan (T),MBD1057,SJK(T) LDG JASIN LALANG,LADANG JASIN LALANG,JASIN,77000,065216532,065216532
103,MELAKA,PPD JASIN,Jenis Kebangsaan (T),MBD1058,SJK(T) MERLIMAU,JALAN JASIN,MERLIMAU,77300,062631195,062631195
104,MELAKA,PPD JASIN,Jenis Kebangsaan (T),MBD1059,SJK(T) LDG SERKAM,LADANG SERKAM,MERLIMAU,77300,062632024,062632024
105,MELAKA,PPD JASIN,Kebangsaan,MBA1001,SK JASIN,JALAN AMAN,JASIN,77000,065291279,065294484
106,MELAKA,PPD JASIN,Kebangsaan,MBA1002,SK KESANG TUA,KG. KESANG TUA,JASIN,77000,065293899,065291440
107,MELAKA,PPD JASIN,Kebangsaan,MBA1003,SK SELANDAR,"BT 21, JALAN JASIN",SELANDAR,77500,065252705,065252705
108,MELAKA,PPD JASIN,Kebangsaan,MBA1004,SK BUKIT SENGGEH,KAMPUNG BUKIT SENGGEH,SELANDAR,77500,065252759,065252759
109,MELAKA,PPD JASIN,Kebangsaan,MBA1005,SK JUS,"BATU 24, KAMPUNG JUS",Selandar,77500,065251981,065251981
110,MELAKA,PPD JASIN,Kebangsaan,MBA1006,SK BATANG MELAKA,JALAN SELANDAR BATANG MELAKA,SELANDAR,77500,064461570,064461570
111,MELAKA,PPD JASIN,Kebangsaan,MBA1007,SK NYALAS,PEKAN NYALAS,JASIN,77100,065229228,065228469
112,MELAKA,PPD JASIN,Kebangsaan,MBA1008,SK MASJID BARU,MASJID BARU,ASAHAN,77100,065229098,065229098
113,MELAKA,PPD JASIN,Kebangsaan,MBA1009,SK ASAHAN,ASAHAN,JASIN,77100,065236803,065236803
114,MELAKA,PPD JASIN,Kebangsaan,MBA1010,SK CHABAU,KG.CHABAU,ASAHAN,77100,065236686,065236686
115,MELAKA,PPD JASIN,Kebangsaan,MBA1011,SK CHENDERAH,KG. CHENDERAH,JASIN,77000,065246539,065246539
116,MELAKA,PPD JASIN,Kebangsaan,MBA1012,SK CHOHONG,KM 40 KAMPUNG CHOHONG,JASIN,77000,065246568,065246568
117,MELAKA,PPD JASIN,Kebangsaan,MBA1013,SK CHINCHIN,KM 37 JALAN CHIN CHIN,JASIN,77000,065246578,065246578
118,MELAKA,PPD JASIN,Kebangsaan,MBA1014,SK TERENTANG,"KM. 34, JALAN CHINCHIN",JASIN,77000,065246537,065246537
119,MELAKA,PPD JASIN,Kebangsaan,MBA1015,SK SERI BEMBAN,"KM 22,BEMBAN",BEMBAN,77200,065217834,065217834
120,MELAKA,PPD JASIN,Kebangsaan,MBA1016,SK TEHEL,"KM.16, BEMBAN",JASIN,77200,062682713,062682713
121,MELAKA,PPD JASIN,Kebangsaan,MBA1017,SK KEMENDOR,FELDA TUN GHAFAR KEMENDORE,JASIN,77000,065295110,065295110
122,MELAKA,PPD JASIN,Kebangsaan,MBA1018,SK PULAI,"KM 16,  KAMPUNG  PULAI",MERLIMAU,77300,062619268,062619089
123,MELAKA,PPD JASIN,Kebangsaan,MBA1019,SK SERKAM,"KM18, JALAN SERKAM PANTAI",MERLIMAU,77300,062619740,062619740
124,MELAKA,PPD JASIN,Kebangsaan,MBA1020,SK TEDONG,SEK.KEB.TEDONG,MERLIMAU,77300,062633353,062636350
125,MELAKA,PPD JASIN,Kebangsaan,MBA1021,SK SEMPANG,"KM21 JALAN MELAKA-MUAR, KG.SEMPANG",MERLIMAU,77300,062634645,062634645
126,MELAKA,PPD JASIN,Kebangsaan,MBA1022,SK MERLIMAU,"KM 24, JALAN MUAR LAMA",MERLIMAU,77300,062634548,062634548
127,MELAKA,PPD JASIN,Kebangsaan,MBA1023,SK SEBATU,"KM 29, KG SEBATU",SUNGAI RAMBAI,77400,062659505,062659505
128,MELAKA,PPD JASIN,Kebangsaan,MBA1024,SK SG RAMBAI,SUNGAI RAMBAI,SUNGAI RAMBAI,77400,062659903,062658322
129,MELAKA,PPD JASIN,Kebangsaan,MBA1025,SK BATU GAJAH,"KM 28, BATU GAJAH PASIR",MERLIMAU,77300,062659920,062659920
130,MELAKA,PPD JASIN,Kebangsaan,MBA1026,SK PARIT PENGHULU,JALAN PARIT PENGHULU,SUNGAI RAMBAI,77400,062650159,062650159
131,MELAKA,PPD JASIN,Kebangsaan,MBA1027,SK SERI MENDAPAT,KG. SERI MENDAPAT,MERLIMAU,77300,062633672,062633672
