87,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2112,SJK(C) CHENG YU,"KUAR JAWA, ALOR JANGGUS",ALOR STAR,06250,047947570,047947570
88,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2113,SJK(C) EIK CHOON,"KM10, SIMPANG EMPAT",ALOR STAR,06650,047642905,047642905
89,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2115,SJK(C) KEAT HWA (K),JALAN KEAT HWA OFF JALAN PEREMBA,ALOR STAR,05150,047719758,047719742
90,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2116,SJK(C) KEAT HWA (H),JALAN KAMPONG PERAK,ALOR STAR,05100,047330012,047314064
91,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2117,SJK(C) KEAT HWA (S),"KG BARU, JALAN ISTANA LAMA,",ALOR STAR,05000,047323025,047323025
92,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2118,SJK(C) KEE CHEE,JALAN LANGGAR,ALOR STAR,05460,047333602,047333553
93,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2119,SJK(C) LONG SEONG,KUBANG ROTAN,ALOR STAR,06250,047410595,047412407
94,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2121,SJK(C) LONG CHUAN,"MERGONG,",ALOR STAR,05150,047310140,047310140
95,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2122,SJK(C) MIN SIN,KOTA SARANG SEMUT,ALOR SETAR,06800,047694377,047694377
96,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2123,SJK(C) NAN KWANG,TAJAR,ALOR STAR,06500,047342377,047342377
97,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2124,SJK(C) PUMPONG,JALAN SUKA MENANTI,ALOR STAR,05150,047311924,047311924
98,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2125,SJK(C) PENG MIN,SIMPANG KUALA,ALOR STAR,05400,047772526,047722814
99,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2126,SJK(C) PEI HWA,"KM5, JALAN KUALA KEDAH",ALOR SETAR,05400,047715528,047715528
100,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2127,SJK(C) PEI SHIH,KUALA KEDAH,ALOR STAR,06600,047621232,047626897
101,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2128,SJK(C) SOON JIAN,ANAK BUKIT,ALOR STAR,06550,047349968,047349968
102,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2129,SJK(C) SOON CHENG,BUKIT PINANG,ALOR STAR,06200,047145225,047145225
103,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2130,SJK(C) SIN MIN,"LEBUHRAYA SULTAN ABDUL HALIM,",ALOR STAR,05400,047722026,047722026
104,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2132,SJK(C) TAI CHONG,PEKAN LANGGAR,ALOR STAR,06500,047879001,047879001
105,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2133,SJK(C) YIH MIN,"SIMPANG EMPAT,",ALOR STAR,06650,047641341,047641341
106,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBC2135,SJK(C) YIH CHOON,GUNUNG KERIANG,ALOR STAR,06570,047344676,047344676
107,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBCB001,SJK(C) CHUNG HWA,"KEBUN 500, JABI",POKOK SENA,06400,047878713,047878713
108,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (C),KBCB002,SJK(C) TONG YUH,POKOK SENA,POKOK SENA,06400,047821261,047821261
109,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (T),KBD2137,SJK(T) BARATHY,"KOMPLEKS PENDIDIKAN, JALAN STADIUM,",ALOR STAR,05100,047338244,047338244
110,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (T),KBD2138,SJK(T) THIRUVALLUVAR,TAMAN AMAN,ALOR STAR,06550,047349805,047349805
111,KEDAH,PPD KOTA SETAR,Jenis Kebangsaan (T),KBDB001,SJK(T) LADANG JABI,"LADANG JABI, POKOK SENA",ALOR SETAR,06400,047824892,047824892
112,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2007,SK ALOR JANGGUS,ALOR JANGGUS,ALOR SETAR,06250,047311500,04-7328197
113,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2008,SK SERI AMAR DIRAJA,ALOR MERAH,ALOR STAR,05250,047313354,047319941
114,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2010,SK GUNONG,"KM8, JALAN GUNONG",ALOR SETAR,05150,047306530,047306532
115,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2011,SK KOTA RENTANG,"KOTA RENTANG,",JITRA,06000,047322681,047322681
116,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2012,SK WAN SULAIMAN SIDIQ,JALAN TAMBANG BADAK,ALOR STAR,05100,047330887,047330887
117,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2013,SK HJ ABDULLAH SADUN,ALOR JANGGUS,ALOR  STAR,06250,047946790,047946790
118,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2014,SK DATO' SHAARI,KUBANG ROTAN,ALOR STAR,06250,047320792,047349397
119,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2015,SK LENGKUAS,KEPALA BATAS,ALOR SETAR,06200,047146714,047146714
120,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2016,SK MERGONG,"JALAN PUTRA,",ALOR SETAR,05100,047337550,047337550
121,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2017,SK PERMATANG GUNUNG,"ALOR JANGGUS,",ALOR STAR,06250,047322506,047322506
122,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2018,SK SIMPANG TIGA,SIMPANG TIGA PADANG HANG,ALOR STAR,06570,047312491,047312491
123,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2019,SK SUKA MENANTI,JALAN SUKA MENANTI,ALOR SETAR,05150,047325280,047325280
124,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2020,SK SUNGAI BARU,KAMPUNG SUNGAI BARU TENGAH.,ALOR  SETAR,05150,047341620,047341620
125,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2021,SK TITI GAJAH,TITI GAJAH,ALOR SETAR,06550,047144135,047141679
126,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2022,SK KUBANG TEDUH,"GUNUNG KERIANG,",ALOR STAR,06570,047317682,047317682
127,KEDAH,PPD KOTA SETAR,Kebangsaan,KBA2023,SK ALOR MELINTANG,JALAN DATUK KUMBAR,ALOR SETAR,06500,047413134,047410215
