BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
91,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2051,SMK JALAN TASEK,"JALAN SULTAN AZLAN SHAH (U), TAMAN TASEK INDRA",IPOH,31400,055497606,055450058
92,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2052,SMK SIMPANG PULAI,TAMAN PULAI JAYA,KG. KEPAYANG,31300,053575627,053576516
93,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2053,SMK LAHAT,"PERSIARAN LAHAT BARU 6,  BANDAR LAHAT BARU",LAHAT,31500,053228995,053235041
94,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2054,SMK TASEK DAMAI,JALAN TAWAS BARU UTARA,IPOH,30010,052917200,052921275
95,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2055,SMK TANJONG RAMBUTAN,JALAN CHEMOR,"TANJONG RAMBUTAN",31250,055336770,055331722
96,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2056,SMK JELAPANG JAYA,JELAPANG,IPOH,30020,055282149,055282148
97,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2057,SMK PENGKALAN,TAMAN PINJI MEWAH,LAHAT,31500,053288201,053288202
98,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2058,SMK BERCHAM,HALA TASIK TIMUR 32,IPOH,31400,055461962,055462177
99,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2059,SMK PUSING,LEBUHRAYA EKSPRES IPOH LUMUT,BATU GAJAH,31000,052883955,052884801
100,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2060,SMK BUNTONG,"PERSIARAN RISHAH (S) 1/1B, DESA RISHAH",IPOH,30100,052823242,052828242
101,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2061,SMK WIRA JAYA,HALAMAN AMPANG MEWAH,IPOH,31350,053114339,053114270
102,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2062,SMK JATI,TAMAN JATI,IPOH,30020,055265082,055265062
103,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2063,SMK PINJI,JALAN PERSIARAN BUNGA RAYA,IPOH,31650,053221523,053221523
104,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2065,SMK RAPAT SETIA,"JALAN TENAGA, RAPAT SETIA",IPOH,31350,053113385,053127284
105,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2066,SMK TAMBUN,"JALAN TANJUNG RAMBUTAN, TAMBUN",IPOH,31400,055424841,055424842
106,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2067,SMK BANDAR BARU PUTRA,"PERSIARAN PUTRA 9, BANDAR BARU PUTRA",IPOH,31400,055336437,055336470
107,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEA2302,SMK ULU KINTA,JALAN PASUKAN POLIS HUTAN,ULU KINTA,31150,055331363,055330445
108,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2043,SMK ANDERSON,JALAN HOSPITAL,IPOH,30450,052494900,052423924
109,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2044,SMK ST. MICHAEL,JLN DATO S P SEENIVASAGAM,IPOH,30000,052540418,052540487
110,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2045,SMK METHODIST (ACS),"NO 111, JALAN LAHAT",IPOH,30200,052549336,052414604
