BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
105,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5003,SK BUKIT PERAH,"JALAN KUALA BERANG,",AJIL,21800,096861059,096861120
106,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5004,SK TANGGOL,W/P WAKAF TAPAI  KUALA  TRENGGANU,KUALA BERANG,21040,096120082,096125000
107,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5005,SK BUKIT DIMAN,"KG. BUKIT DIMAN, JALAN JERANGAU",AJIL,21800,096861702,096862273
108,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5006,SK PAUH,"KAMPUNG PAUH, JLN. EMPANGAN SULTAN MAHMUD,",KUALA BERANG,21700,096818562,096818873
109,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5007,SK BUKIT APIT,KAMPUNG BUKIT APIT,AJIL,21800,096881410,TIADA
110,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5008,SK DUSUN,KAMPUNG DUSUN,KUALA BERANG,21700,096124973,096886085
111,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5009,SK LANGGAR,KAMPUNG LANGGAR JALAN BUTUT,KUALA BERANG,21700,096817362,0096817362
112,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5010,SK GETANG,W/P KUALA TELEMONG,"KUALA TERENGGANU",21210,096120072,TIADA
113,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5011,SK BUKIT GEMUROH,"KAMPUNG BUKIT GEMUROH,JALAN SEKAYU",KUALA BERANG,21700,096881428,TIADA
114,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5012,SK MATANG,"KAMPUNG MATANG, JALAN SUNGAI TONG",KUALA BERANG,21700,096818407,096818407
115,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5013,SK TENGKAWANG,"KAMPUNG TENGKAWANG, JALAN SUNGAI TONG",KUALA BERANG,21700,096818963,096818962
116,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5014,SK MENERONG,SK MENERONG,AJIL,21800,096125625,096124982
117,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5015,SK SG BULOH,"KG. PAYANG KAYU, JALAN SUNGAI TONG,",KUALA BERANG,21700,098241632,098243599
118,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5016,SK KUALA PING,"KAMPUNG TOK LAWIT, JALAN SUNGAI TONG",KUALA BERANG,21700,098242476,098241071
119,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5017,SK TAPU,"SEK.KEB. TAPU, HULU TERENGGANU",KUALA BERANG,21040,096123107,096123106
120,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5018,SK PADANG SETEBU,"KG. BASUNG, JALAN PENGKALAN GAWI, TASIK KENYIR",KUALA BERANG,21700,098242763,TIADA
121,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5019,SK PADANG SETAR,JALAN SEKAYU,KUALA BERANG,21700,096120049,096251446
122,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5020,SK KUA,JALAN FELDA MENGKAWANG,AJIL,21800,096124839,096124951
123,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5021,SK PASIR NERING,KAMPUNG PASIR NERING,KUALA BERANG,21700,096881448,096881448
124,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5022,SK PEROH,"JALAN JERANGAU,",AJIL,21810,096872251,096872251
125,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5023,SK NIBONG,KAMPUNG NIBONG,KUALA BERANG,21700,096881443,096886443
126,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5024,SK KUALA DURA,"KG. KUALA DURA, JLN EMPANGAN SULTAN MAHMUD,",KUALA BERANG,21700,096818848,096818848
127,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5025,SK BUKIT TADOK,"KG. BUKIT TADOK, KUALA TELEMONG","KUALA TERENGGANU",21210,096882471,098241101
128,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5027,SK KEMAT,KAMPUNG KEMAT,KUALA BERANG,21700,096883327,096889573
129,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5028,SK LUBUK PERIOK,"JALAN FELDA MENGKAWANG,",AJIL,21800,096124993,TIADA
130,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5029,SK LEREK,"JALAN JENAGOR, KAMPUNG LEREK",KUALA BERANG,21700,098241655,098242410
131,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5030,SK PEREH,KAMPUNG PERIS,AJIL,21800,096122597,096121424
132,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5031,SK TERIS,"JALAN SUNGAI TONG,",KUALA BERANG,21700,098244849,098241098
133,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5032,SK TAPAH,"KG, TAPAH, JLN. EMPANGAN SULTAN MAHMUD,",KUALA BERANG,21700,096815450,096814652
134,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5033,SK KUALA JENDERIS,JALAN SUNGAI TONG,KUALA BERANG,21700,098241817,098241099
135,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5034,SK BETONG,FELCRA IN-SITU KG BETONG,AJIL,21800,0096121867,0096127041
136,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5035,SK CHETING,JALAN CHETING OFF JALAN SEKAYU,KUALA BERANG,21700,096881430,096124693
137,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5041,SK LKTP  BUKIT BADING,"FELDA BUKIT BADING,KM 12, JALAN JERANGAU",AJIL,21810,096872392,096872390
138,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5042,SK FELDA JERANGAU BARAT,"JALAN JERANGAU,",AJIL,21820,098385575,098385575
139,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5043,SK BINJAI KERTAS,"KG. BINJAI KERTAS,",KUALA BERANG,21700,096127834,096252466
140,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5044,SK FELDA MENGKAWANG,"KAMPUNG FELDA MENGKAWANG,",AJIL,21800,096881416,096124960
141,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5045,SK FELDA  TERSAT,SK FELDA TERSAT,AJIL,21800,096122158,096127624
142,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5046,SK SG BERUA,KG. SUNGAI BERUA,KUALA BERANG,21700,098241544,098240057
143,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5047,SK KUALA TELEMONG,KAMPUNG KUALA TELEMONG,"KUALA TERENGGANU",21210,096141147,096141706
144,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5048,SK PASIR TINGGI,WAKIL POS SIMPANG  RAWAI,"KUALA TERENGGANU",21400,096131885,096131885
145,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5049,SK SERI BERANG,JALAN PERUMAHAN RKT SUNGAI PETAI,KUALA BERANG,21700,096816452,0096812319
146,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5050,SK TOK RANDOK,JALAN JERANGGAU,AJIL,21800,0096862971,0096862971
147,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5051,SK LANDAS,KM 16 JALAN JERANGAU,AJIL,21810,098383012,098383011
148,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5052,SK SERI BULUH,JALAN MEMORIAL BATU BERSURAT,KUALA BERANG,21700,096120054,096825180
149,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5053,SK AJIL,PEKAN AJIL,AJIL,21800,096861154,096861159
150,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBA5054,SEKOLAH KEBANGSAAN PADANG SETENGGE,"KUALA BERANG, HULU TERENGGANU",KUALA BERANG,21700,096120085,096120086
151,TERENGGANU,"PPD HULU TERENGGANU",Kebangsaan,TBB5038,SK TENGKU AMPUAN INTAN,"KM.1, JALAN KUALA TERENGGANU",KUALA BERANG,21700,096811009,096825121
152,TERENGGANU,PPD KEMAMAN,Jenis Kebangsaan (C),TBC2026,SJK(C) LOK KHOON,AYER JERNIH,KEMASIK,24210,098881137,098881137
153,TERENGGANU,PPD KEMAMAN,Jenis Kebangsaan (C),TBC2027,SJK(C) CHUKAI,JALAN  JAKAR,CHUKAI,24000,098592435,098592435
154,TERENGGANU,PPD KEMAMAN,Jenis Kebangsaan (C),TBC2028,SJK(C) KUALA KEMAMAN,KUALA KEMAMAN,KEMAMAN,24000,098684439,098684439
155,TERENGGANU,PPD KEMAMAN,Jenis Kebangsaan (C),TBC2029,SJK(C) JABOR,KEMAMAN VIA KUANTAN,KUANTAN,26150,095513416,TIADA
156,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2001,SK CHUKAI,JALAN PENGHIBURAN,KEMAMAN,24000,098591529,098594984
157,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2002,SK PUSAT,KM 5 CHUKAI,KEMAMAN,24000,0098594985,0098594985
158,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2003,SK SERI GELIGA,KAMPUNG GELIGA,KEMAMAN,24000,098683795,098683385
159,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2004,SK BUKIT MENTOK,JALAN BUKIT MENTOK,KEMAMAN,24000,098595368,098595368
